=04: U+009c,	# SELECT
=05: U+0009,	# HORIZONTAL TABULATION
=06: U+0086,	# REQUIRED NEW LINE
=07: U+007f,	# DELETE
=08: U+0097,	# GRAPHIC ESCAPE
=09: U+008d,	# SUPERSCRIPT
=0a: U+008e,	# REPEAT
=14: U+009d,	# RESTORE/ENABLE PRESENTATION
=15: U+0085,	# NEW LINE
=16: U+0008,	# BACKSPACE
=17: U+0087,	# PROGRAM OPERATOR COMMUNICATION
=1a: U+0092,	# UNIT BACK SPACE
=1b: U+008f,	# CUSTOMER USE ONE
=20: U+0080,	# DIGIT SELECT
=21: U+0081,	# START OF SIGNIFICANCE
=22: U+0082,	# FIELD SEPARATOR
=23: U+0083,	# WORD UNDERSCORE
=24: U+0084,	# BYPASS OR INHIBIT PRESENTATION
=25: U+000a,	# LINE FEED
=26: U+0017,	# END OF TRANSMISSION BLOCK
=27: U+001b,	# ESCAPE
=28: U+0088,	# SET ATTRIBUTE
=29: U+0089,	# START FIELD EXTENDED
=2a: U+008a,	# SET MODE OR SWITCH
=2b: U+008b,	# CONTROL SEQUENCE PREFIX
=2c: U+008c,	# MODIFY FIELD ATTRIBUTE
=2d: U+0005,	# ENQUIRY
=2e: U+0006,	# ACKNOWLEDGE
=2f: U+0007,	# BELL
=30: U+0090,	# <reserved>
=31: U+0091,	# <reserved>
=32: U+0016,	# SYNCHRONOUS IDLE
=33: U+0093,	# INDEX RETURN
=34: U+0094,	# PRESENTATION POSITION
=35: U+0095,	# TRANSPARENT
=36: U+0096,	# NUMERIC BACKSPACE
=37: U+0004,	# END OF TRANSMISSION
=38: U+0098,	# SUBSCRIPT
=39: U+0099,	# INDENT TABULATION
=3a: U+009a,	# REVERSE FORM FEED
=3b: U+009b,	# CUSTOMER USE THREE
=3c: U+0014,	# DEVICE CONTROL FOUR
=3d: U+0015,	# NEGATIVE ACKNOWLEDGE
=3e: U+009e,	# <reserved>
=3f: U+001a,	# SUBSTITUTE
=40: U+0020,	# SPACE
=41: U+05d0,	# HEBREW LETTER ALEF
=42: U+05d1,	# HEBREW LETTER BET
=43: U+05d2,	# HEBREW LETTER GIMEL
=44: U+05d3,	# HEBREW LETTER DALET
=45: U+05d4,	# HEBREW LETTER HE
=46: U+05d5,	# HEBREW LETTER VAV
=47: U+05d6,	# HEBREW LETTER ZAYIN
=48: U+05d7,	# HEBREW LETTER HET
=49: U+05d8,	# HEBREW LETTER TET
=4a: U+00a2,	# CENT SIGN
=4b: U+002e,	# FULL STOP
=4c: U+003c,	# LESS-THAN SIGN
=4d: U+0028,	# LEFT PARENTHESIS
=4e: U+002b,	# PLUS SIGN
=4f: U+007c,	# VERTICAL LINE
=50: U+0026,	# AMPERSAND
=51: U+05d9,	# HEBREW LETTER YOD
=52: U+05da,	# HEBREW LETTER FINAL KAF
=53: U+05db,	# HEBREW LETTER KAF
=54: U+05dc,	# HEBREW LETTER LAMED
=55: U+05dd,	# HEBREW LETTER FINAL MEM
=56: U+05de,	# HEBREW LETTER MEM
=57: U+05df,	# HEBREW LETTER FINAL NUN
=58: U+05e0,	# HEBREW LETTER NUN
=59: U+05e1,	# HEBREW LETTER SAMEKH
=5a: U+0021,	# EXCLAMATION MARK
=5b: U+0024,	# DOLLAR SIGN
=5c: U+002a,	# ASTERISK
=5d: U+0029,	# RIGHT PARENTHESIS
=5e: U+003b,	# SEMICOLON
=5f: U+00ac,	# NOT SIGN
=60: U+002d,	# HYPHEN-MINUS
=61: U+002f,	# SOLIDUS
=62: U+05e2,	# HEBREW LETTER AYIN
=63: U+05e3,	# HEBREW LETTER FINAL PE
=64: U+05e4,	# HEBREW LETTER PE
=65: U+05e5,	# HEBREW LETTER FINAL TSADI
=66: U+05e6,	# HEBREW LETTER TSADI
=67: U+05e7,	# HEBREW LETTER QOF
=68: U+05e8,	# HEBREW LETTER RESH
=69: U+05e9,	# HEBREW LETTER SHIN
=6a: U+00a6,	# BROKEN BAR
=6b: U+002c,	# COMMA
=6c: U+0025,	# PERCENT SIGN
=6d: U+005f,	# LOW LINE
=6e: U+003e,	# GREATER-THAN SIGN
=6f: U+003f,	# QUESTION MARK
=70: U+0000,	# UNDEFINED
=71: U+05ea,	# HEBREW LETTER TAV
=72: U+0000,	# UNDEFINED
=73: U+0000,	# UNDEFINED
=74: U+00a0,	# NO-BREAK SPACE
=75: U+0000,	# UNDEFINED
=76: U+0000,	# UNDEFINED
=77: U+0000,	# UNDEFINED
=78: U+2017,	# DOUBLE LOW LINE
